expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.H.A.2/001269-2023,PFC.H.A.2/001269-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001270-2023,PFC.H.A.2/001270-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001271-2023,PFC.H.A.2/001271-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001272-2023,PFC.H.A.2/001272-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001273-2023,PFC.H.A.2/001273-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001274-2023,PFC.H.A.2/001274-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001275-2023,PFC.H.A.2/001275-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001276-2023,PFC.H.A.2/001276-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001277-2023,PFC.H.A.2/001277-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001278-2023,PFC.H.A.2/001278-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001279-2023,PFC.H.A.2/001279-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001280-2023,PFC.H.A.2/001280-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001281-2023,PFC.H.A.2/001281-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001282-2023,PFC.H.A.2/001282-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001283-2023,PFC.H.A.2/001283-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001284-2023,PFC.H.A.2/001284-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001285-2023,PFC.H.A.2/001285-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001286-2023,PFC.H.A.2/001286-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001287-2023,PFC.H.A.2/001287-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001288-2023,PFC.H.A.2/001288-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001289-2023,PFC.H.A.2/001289-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001290-2023,PFC.H.A.2/001290-2023,"En Trámite",Desistimiento,Cambio
