expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.AGS.B.3/000014-2023,PFC.AGS.B.3/000014-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000021-2023,PFC.AGS.B.3/000021-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000024-2023,PFC.AGS.B.3/000024-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000043-2023,PFC.AGS.B.3/000043-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000070-2023,PFC.AGS.B.3/000070-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000096-2023,PFC.AGS.B.3/000096-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000117-2023,PFC.AGS.B.3/000117-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000124-2023,PFC.AGS.B.3/000124-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000129-2023,PFC.AGS.B.3/000129-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000143-2023,PFC.AGS.B.3/000143-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000160-2023,PFC.AGS.B.3/000160-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000180-2023,PFC.AGS.B.3/000180-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000251-2023,PFC.AGS.B.3/000251-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000265-2023,PFC.AGS.B.3/000265-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000266-2023,PFC.AGS.B.3/000266-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000277-2023,PFC.AGS.B.3/000277-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000282-2023,PFC.AGS.B.3/000282-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000284-2023,PFC.AGS.B.3/000284-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000287-2023,PFC.AGS.B.3/000287-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000288-2023,PFC.AGS.B.3/000288-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000289-2023,PFC.AGS.B.3/000289-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000312-2023,PFC.AGS.B.3/000312-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000327-2023,PFC.AGS.B.3/000327-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000340-2023,PFC.AGS.B.3/000340-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000360-2023,PFC.AGS.B.3/000360-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000383-2023,PFC.AGS.B.3/000383-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000401-2023,PFC.AGS.B.3/000401-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000408-2023,PFC.AGS.B.3/000408-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000430-2023,PFC.AGS.B.3/000430-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000434-2023,PFC.AGS.B.3/000434-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000439-2023,PFC.AGS.B.3/000439-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000451-2023,PFC.AGS.B.3/000451-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000455-2023,PFC.AGS.B.3/000455-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000469-2023,PFC.AGS.B.3/000469-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000478-2023,PFC.AGS.B.3/000478-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000513-2023,PFC.AGS.B.3/000513-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000517-2023,PFC.AGS.B.3/000517-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000528-2023,PFC.AGS.B.3/000528-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000532-2023,PFC.AGS.B.3/000532-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000533-2023,PFC.AGS.B.3/000533-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000554-2023,PFC.AGS.B.3/000554-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000570-2023,PFC.AGS.B.3/000570-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000574-2023,PFC.AGS.B.3/000574-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000578-2023,PFC.AGS.B.3/000578-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000589-2023,PFC.AGS.B.3/000589-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000597-2023,PFC.AGS.B.3/000597-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000616-2023,PFC.AGS.B.3/000616-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000620-2023,PFC.AGS.B.3/000620-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000631-2023,PFC.AGS.B.3/000631-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000647-2023,PFC.AGS.B.3/000647-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000650-2023,PFC.AGS.B.3/000650-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000655-2023,PFC.AGS.B.3/000655-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000661-2023,PFC.AGS.B.3/000661-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000666-2023,PFC.AGS.B.3/000666-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000674-2023,PFC.AGS.B.3/000674-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000680-2023,PFC.AGS.B.3/000680-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000691-2023,PFC.AGS.B.3/000691-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000693-2023,PFC.AGS.B.3/000693-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000703-2023,PFC.AGS.B.3/000703-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000706-2023,PFC.AGS.B.3/000706-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000729-2023,PFC.AGS.B.3/000729-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000747-2023,PFC.AGS.B.3/000747-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000777-2023,PFC.AGS.B.3/000777-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000792-2023,PFC.AGS.B.3/000792-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000793-2023,PFC.AGS.B.3/000793-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000812-2023,PFC.AGS.B.3/000812-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000844-2023,PFC.AGS.B.3/000844-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000855-2023,PFC.AGS.B.3/000855-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000856-2023,PFC.AGS.B.3/000856-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000891-2023,PFC.AGS.B.3/000891-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000898-2023,PFC.AGS.B.3/000898-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000903-2023,PFC.AGS.B.3/000903-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000904-2023,PFC.AGS.B.3/000904-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000916-2023,PFC.AGS.B.3/000916-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000924-2023,PFC.AGS.B.3/000924-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000928-2023,PFC.AGS.B.3/000928-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000954-2023,PFC.AGS.B.3/000954-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000965-2023,PFC.AGS.B.3/000965-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000973-2023,PFC.AGS.B.3/000973-2023,"En Trámite",Conciliada,Cambio
PFC.BCN.B.3/000072-2023,PFC.BCN.B.3/000072-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000076-2023,PFC.BCN.B.3/000076-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.BCN.B.3/000118-2023,PFC.BCN.B.3/000118-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000149-2023,PFC.BCN.B.3/000149-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.BCN.B.3/000150-2023,PFC.BCN.B.3/000150-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000190-2023,PFC.BCN.B.3/000190-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000211-2023,PFC.BCN.B.3/000211-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000223-2023,PFC.BCN.B.3/000223-2023,"En Trámite",Conciliada,Cambio
PFC.BCN.B.3/000241-2023,PFC.BCN.B.3/000241-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000265-2023,PFC.BCN.B.3/000265-2023,"En Trámite",Conciliada,Cambio
PFC.BCN.B.3/000279-2023,PFC.BCN.B.3/000279-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCN.B.3/000306-2023,PFC.BCN.B.3/000306-2023,"En Trámite",Desistimiento,Cambio
PFC.BCN.B.3/000321-2023,PFC.BCN.B.3/000321-2023,"En Trámite",Conciliada,Cambio
PFC.BCN.B.3/000332-2023,PFC.BCN.B.3/000332-2023,"En Trámite",Desistimiento,Cambio
PFC.BCN.B.3/000430-2023,PFC.BCN.B.3/000430-2023,"En Trámite",Desistimiento,Cambio
PFC.BCN.B.3/000441-2023,PFC.BCN.B.3/000441-2023,"En Trámite",Conciliada,Cambio
PFC.BCN.B.3/000442-2023,PFC.BCN.B.3/000442-2023,"En Trámite","No Conciliada",Cambio
PFC.BCN.B.3/000453-2023,PFC.BCN.B.3/000453-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000014-2023,PFC.BCS.B.3/000014-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000027-2023,PFC.BCS.B.3/000027-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.BCS.B.3/000063-2023,PFC.BCS.B.3/000063-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCS.B.3/000067-2023,PFC.BCS.B.3/000067-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000077-2023,PFC.BCS.B.3/000077-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000086-2023,PFC.BCS.B.3/000086-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCS.B.3/000132-2023,PFC.BCS.B.3/000132-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000148-2023,PFC.BCS.B.3/000148-2023,Conciliada,Conciliada,"Sin cambio"
PFC.BCS.B.3/000161-2023,PFC.BCS.B.3/000161-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000184-2023,PFC.BCS.B.3/000184-2023,"En Trámite","No conciliada",Cambio
PFC.BCS.B.3/000185-2023,PFC.BCS.B.3/000185-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000193-2023,PFC.BCS.B.3/000193-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000211-2023,PFC.BCS.B.3/000211-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000268-2023,PFC.BCS.B.3/000268-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000270-2023,PFC.BCS.B.3/000270-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000273-2023,PFC.BCS.B.3/000273-2023,"En Trámite","En Trámite","Sin cambio"
PFC.BCS.B.3/000279-2023,PFC.BCS.B.3/000279-2023,"En Trámite",Conciliada,Cambio
PFC.BCS.B.3/000313-2023,PFC.BCS.B.3/000313-2023,"En Trámite",Desistimiento,Cambio
PFC.BCS.B.3/000328-2023,PFC.BCS.B.3/000328-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000001-2023,PFC.CAM.B.3/000001-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.CAM.B.3/000020-2023,PFC.CAM.B.3/000020-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000021-2023,PFC.CAM.B.3/000021-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000041-2023,PFC.CAM.B.3/000041-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000045-2023,PFC.CAM.B.3/000045-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000060-2023,PFC.CAM.B.3/000060-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000061-2023,PFC.CAM.B.3/000061-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000063-2023,PFC.CAM.B.3/000063-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000071-2023,PFC.CAM.B.3/000071-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000091-2023,PFC.CAM.B.3/000091-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000092-2023,PFC.CAM.B.3/000092-2023,"En Trámite",Desistimiento,Cambio
PFC.CAM.B.3/000097-2023,PFC.CAM.B.3/000097-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000098-2023,PFC.CAM.B.3/000098-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000107-2023,PFC.CAM.B.3/000107-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000110-2023,PFC.CAM.B.3/000110-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000123-2023,PFC.CAM.B.3/000123-2023,"En Trámite","No Conciliada",Cambio
PFC.CAM.B.3/000130-2023,PFC.CAM.B.3/000130-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000137-2023,PFC.CAM.B.3/000137-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000138-2023,PFC.CAM.B.3/000138-2023,"En Trámite","No Conciliada",Cambio
PFC.CAM.B.3/000147-2023,PFC.CAM.B.3/000147-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000150-2023,PFC.CAM.B.3/000150-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000162-2023,PFC.CAM.B.3/000162-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000170-2023,PFC.CAM.B.3/000170-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000177-2023,PFC.CAM.B.3/000177-2023,"En Trámite",Desistimiento,Cambio
PFC.CAM.B.3/000186-2023,PFC.CAM.B.3/000186-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000189-2023,PFC.CAM.B.3/000189-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000213-2023,PFC.CAM.B.3/000213-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000224-2023,PFC.CAM.B.3/000224-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CAM.B.3/000225-2023,PFC.CAM.B.3/000225-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CAM.B.3/000234-2023,PFC.CAM.B.3/000234-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000291-2023,PFC.CAM.B.3/000291-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000299-2023,PFC.CAM.B.3/000299-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000300-2023,PFC.CAM.B.3/000300-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000302-2023,PFC.CAM.B.3/000302-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000326-2023,PFC.CAM.B.3/000326-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000330-2023,PFC.CAM.B.3/000330-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000333-2023,PFC.CAM.B.3/000333-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000334-2023,PFC.CAM.B.3/000334-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000335-2023,PFC.CAM.B.3/000335-2023,"En Trámite",Conciliada,Cambio
PFC.CAM.B.3/000336-2023,PFC.CAM.B.3/000336-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CAM.B.3/000353-2023,PFC.CAM.B.3/000353-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000016-2023,PFC.CDF.B.3/000016-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CDF.B.3/000030-2023,PFC.CDF.B.3/000030-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CDF.B.3/000035-2023,PFC.CDF.B.3/000035-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CDF.B.3/000049-2023,PFC.CDF.B.3/000049-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CDF.B.3/000058-2023,PFC.CDF.B.3/000058-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000063-2023,PFC.CDF.B.3/000063-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000076-2023,PFC.CDF.B.3/000076-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.CDF.B.3/000078-2023,PFC.CDF.B.3/000078-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000083-2023,PFC.CDF.B.3/000083-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000113-2023,PFC.CDF.B.3/000113-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000115-2023,PFC.CDF.B.3/000115-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000125-2023,PFC.CDF.B.3/000125-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000137-2023,PFC.CDF.B.3/000137-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000158-2023,PFC.CDF.B.3/000158-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000166-2023,PFC.CDF.B.3/000166-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000183-2023,PFC.CDF.B.3/000183-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000195-2023,PFC.CDF.B.3/000195-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000235-2023,PFC.CDF.B.3/000235-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000256-2023,PFC.CDF.B.3/000256-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000286-2023,PFC.CDF.B.3/000286-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000289-2023,PFC.CDF.B.3/000289-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000303-2023,PFC.CDF.B.3/000303-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000323-2023,PFC.CDF.B.3/000323-2023,Improcedente,Improcedente,"Sin cambio"
PFC.CDF.B.3/000327-2023,PFC.CDF.B.3/000327-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000333-2023,PFC.CDF.B.3/000333-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000356-2023,PFC.CDF.B.3/000356-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000368-2023,PFC.CDF.B.3/000368-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000372-2023,PFC.CDF.B.3/000372-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000380-2023,PFC.CDF.B.3/000380-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000389-2023,PFC.CDF.B.3/000389-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000395-2023,PFC.CDF.B.3/000395-2023,Conciliada,Conciliada,"Sin cambio"
PFC.CDF.B.3/000408-2023,PFC.CDF.B.3/000408-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000441-2023,PFC.CDF.B.3/000441-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000444-2023,PFC.CDF.B.3/000444-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000526-2023,PFC.CDF.B.3/000526-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000550-2023,PFC.CDF.B.3/000550-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000556-2023,PFC.CDF.B.3/000556-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000578-2023,PFC.CDF.B.3/000578-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000668-2023,PFC.CDF.B.3/000668-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000672-2023,PFC.CDF.B.3/000672-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000678-2023,PFC.CDF.B.3/000678-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000688-2023,PFC.CDF.B.3/000688-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000724-2023,PFC.CDF.B.3/000724-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000725-2023,PFC.CDF.B.3/000725-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/000792-2023,PFC.CDF.B.3/000792-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000830-2023,PFC.CDF.B.3/000830-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000834-2023,PFC.CDF.B.3/000834-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000836-2023,PFC.CDF.B.3/000836-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000906-2023,PFC.CDF.B.3/000906-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000916-2023,PFC.CDF.B.3/000916-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000919-2023,PFC.CDF.B.3/000919-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/000929-2023,PFC.CDF.B.3/000929-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000941-2023,PFC.CDF.B.3/000941-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/000952-2023,PFC.CDF.B.3/000952-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001033-2023,PFC.CDF.B.3/001033-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001039-2023,PFC.CDF.B.3/001039-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001091-2023,PFC.CDF.B.3/001091-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001101-2023,PFC.CDF.B.3/001101-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001116-2023,PFC.CDF.B.3/001116-2023,"En Trámite","No Conciliada",Cambio
PFC.CDF.B.3/001119-2023,PFC.CDF.B.3/001119-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001129-2023,PFC.CDF.B.3/001129-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001147-2023,PFC.CDF.B.3/001147-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001174-2023,PFC.CDF.B.3/001174-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001177-2023,PFC.CDF.B.3/001177-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001188-2023,PFC.CDF.B.3/001188-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001217-2023,PFC.CDF.B.3/001217-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001218-2023,PFC.CDF.B.3/001218-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001227-2023,PFC.CDF.B.3/001227-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001235-2023,PFC.CDF.B.3/001235-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001274-2023,PFC.CDF.B.3/001274-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001281-2023,PFC.CDF.B.3/001281-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001294-2023,PFC.CDF.B.3/001294-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001348-2023,PFC.CDF.B.3/001348-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001361-2023,PFC.CDF.B.3/001361-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001404-2023,PFC.CDF.B.3/001404-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001440-2023,PFC.CDF.B.3/001440-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001443-2023,PFC.CDF.B.3/001443-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001455-2023,PFC.CDF.B.3/001455-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001471-2023,PFC.CDF.B.3/001471-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001495-2023,PFC.CDF.B.3/001495-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001511-2023,PFC.CDF.B.3/001511-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001512-2023,PFC.CDF.B.3/001512-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001546-2023,PFC.CDF.B.3/001546-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001550-2023,PFC.CDF.B.3/001550-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001561-2023,PFC.CDF.B.3/001561-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001587-2023,PFC.CDF.B.3/001587-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001595-2023,PFC.CDF.B.3/001595-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001612-2023,PFC.CDF.B.3/001612-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001616-2023,PFC.CDF.B.3/001616-2023,"En Trámite",Conciliada,Cambio
PFC.CDF.B.3/001643-2023,PFC.CDF.B.3/001643-2023,"En Trámite",Desistimiento,Cambio
PFC.CDF.B.3/001649-2023,PFC.CDF.B.3/001649-2023,"En Trámite","En Trámite","Sin cambio"
PFC.CDF.B.3/001656-2023,PFC.CDF.B.3/001656-2023,"En Trámite",Desistimiento,Cambio
